Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
152,20.8200,24.7966,23.5752,25.3055,25.3055,35.9677,34.0214,33.1502,33.8897,36.9908
153,19.0735,20.4911,22.7534,21.8962,21.8962,35.8572,33.9330,33.0822,33.8113,36.8922
154,21.5162,21.9400,22.9322,23.8486,23.8486,35.7641,33.8551,33.0163,33.7466,36.8075
155,18.9009,21.0465,22.0005,22.8501,22.8501,35.6553,33.7725,32.9452,33.6763,36.7174
156,19.0344,20.4690,21.6998,22.1029,22.6580,35.5488,33.6872,32.8732,33.6021,36.6273
157,21.0610,21.5525,21.0505,22.4050,23.2651,35.4565,33.6099,32.7979,33.5308,36.5422
158,21.6675,22.3891,21.5202,22.8323,24.4304,35.3692,33.5389,32.7265,33.4631,36.4655
159,22.4159,20.7760,21.8527,21.1476,23.3534,35.2878,33.4586,32.6581,33.3856,36.3831
160,22.6344,22.7490,22.6269,22.6250,24.5585,35.2087,33.3917,32.5954,33.3184,36.3092
161,21.4477,22.1891,22.7787,20.8049,25.3806,35.1232,33.3221,32.5344,33.2407,36.2413
162,22.3534,22.3726,23.4866,21.4042,24.7662,35.0444,33.2545,32.4786,33.1676,36.1704
163,24.4213,24.4213,23.0980,20.6813,20.6813,34.9792,33.2003,32.4210,33.0910,36.0754
164,33.5987,33.5987,22.4979,33.2286,33.2876,34.9708,33.2028,32.3605,33.0918,36.0584
165,35.3874,34.0717,24.8353,34.7896,34.7896,34.9733,33.2080,32.3149,33.1021,36.0507
166,42.2606,40.2664,32.2148,40.6864,40.9075,35.0172,33.2505,32.3143,33.1478,36.0800
167,45.8961,43.6879,40.3666,45.6145,45.6145,35.0824,33.3130,32.3625,33.2225,36.1371
168,48.7873,45.3034,45.3935,45.7034,45.7034,35.1639,33.3844,32.4401,33.2967,36.1940
169,50.5542,49.0506,49.1820,49.8930,49.8930,35.2550,33.4771,32.5392,33.3950,36.2751
170,32.4361,32.5839,38.6495,31.9786,34.7566,35.2384,33.4719,32.5751,33.3866,36.2661
171,26.4535,25.9064,24.4917,25.9186,26.4479,35.1871,33.4276,32.5278,33.3429,36.2087
172,29.1608,29.1106,19.4145,29.0933,29.0933,35.1520,33.4025,32.4516,33.3182,36.1674
173,29.8146,29.6896,19.0168,29.6600,29.6600,35.1212,33.3811,32.3739,33.2971,36.1297
174,31.6080,31.3605,20.4647,29.4103,29.4103,35.1010,33.3694,32.3055,33.2748,36.0911
175,40.3496,40.4466,23.7565,39.8997,41.1707,35.1310,33.4099,32.2566,33.3126,36.1202
176,41.0719,41.1177,26.3037,40.2313,41.4665,35.1647,33.4537,32.2228,33.3519,36.1505
177,44.8253,44.8167,39.5142,44.3816,44.3816,35.2193,33.5179,32.2640,33.4142,36.1970
178,32.0757,31.9951,35.0586,31.5220,32.0185,35.2016,33.5093,32.2797,33.4036,36.1736
