Frame,MSE_DefMean,MSE_Ours_BayF,MSE_Ours_KF,MSE_Ideal,MSE_BestHist,Avg_DefMean,Avg_Ours_BayF,Avg_Ours_KF,Avg_Ideal,Avg_BestHist
247,4.8190,4.8205,5.1308,4.7755,4.8300,36.5103,34.8510,34.3780,32.5093,34.3484
248,4.0040,4.0059,4.1578,3.9679,4.0130,36.3792,34.7266,34.2562,32.3943,34.2261
249,3.9911,3.9929,4.0696,3.9552,4.0002,36.2491,34.6032,34.1349,32.2800,34.1047
250,2.9789,2.9803,2.9872,2.9522,2.9856,36.1160,34.4767,34.0104,32.1627,33.9802
251,1.9735,1.9743,1.9758,1.9558,1.9786,35.9800,34.3472,33.8827,32.0424,33.8527
252,1.9823,1.9832,1.9851,1.9645,1.9867,35.8451,34.2188,33.7562,31.9230,33.7263
253,1.5183,1.5191,1.5201,1.5068,1.5211,35.7094,34.0896,33.6287,31.8028,33.5990
254,1.3113,1.3119,1.3118,1.3015,1.3138,35.5740,33.9605,33.5015,31.6827,33.4719
255,1.3136,1.3142,1.3143,1.3037,1.3163,35.4396,33.8325,33.3753,31.5636,33.3458
256,1.8352,1.8360,1.8429,1.8234,1.8392,35.3084,33.7075,33.2521,31.4474,33.2227
257,2.0713,2.0720,2.0757,2.0608,2.0748,35.1790,33.5844,33.1308,31.3331,33.1015
258,1.7274,1.7280,1.7333,1.7187,1.7303,35.0494,33.4609,33.0091,31.2183,32.9799
259,5.3438,5.3444,5.3490,5.3360,5.3462,34.9347,33.3524,32.9023,31.1184,32.8732
260,5.3550,5.3556,5.3769,5.3469,5.3576,34.8209,33.2447,32.7964,31.0192,32.7674
261,10.1633,10.1597,10.1718,10.1532,10.1884,34.7264,33.1562,32.7098,30.9393,32.6809
